img,name,win_rate,pick_rate,sample_size
https://cdn5.lolalytics.com/item64/4401.webp,自然之力,63.77,0.9,0
https://cdn5.lolalytics.com/item64/3083.webp,好戰者鎧甲,62.5,0.31,0
https://cdn5.lolalytics.com/item64/3072.webp,嗜血者,60.97,9.39,0
https://cdn5.lolalytics.com/item64/2504.webp,凱尼克欺瞞者,58.72,1.42,0
https://cdn5.lolalytics.com/item64/3073.webp,實驗型海克斯板甲,58.25,9.09,0
https://cdn5.lolalytics.com/item64/6701.webp,機會,57.69,0.34,0
https://cdn5.lolalytics.com/item64/3814.webp,夜色緣界,57.69,0.68,0
https://cdn5.lolalytics.com/item64/3139.webp,水星彎刀,57.61,6.34,0
https://cdn5.lolalytics.com/item64/3142.webp,妖夢鬼刀,57.45,0.61,0
https://cdn5.lolalytics.com/item64/6673.webp,不朽盾弓,57.14,1.73,0
https://cdn5.lolalytics.com/item64/3036.webp,多明尼克的問候,56.91,2.45,0
https://cdn5.lolalytics.com/item64/3124.webp,鬼索的狂暴之刃,56.62,68.2,0
https://cdn5.lolalytics.com/item64/3302.webp,臨界點,56.5,37.22,0
https://cdn5.lolalytics.com/item64/3033.webp,致死宣告,56.36,0.72,0
https://cdn5.lolalytics.com/item64/3087.webp,史提克彈簧刀,56.16,6.45,0
https://cdn5.lolalytics.com/item64/3046.webp,幻影之舞,55.99,8.59,0
https://cdn5.lolalytics.com/item64/3748.webp,泰坦九頭蛇,55.56,0.7,0
https://cdn5.lolalytics.com/item64/3156.webp,魔提斯深淵,55.41,0.96,0
https://cdn5.lolalytics.com/item64/6665.webp,千變萬化之賈克修,55.38,25.8,0
https://cdn5.lolalytics.com/item64/3153.webp,殞落王者之劍,55.22,77.13,0
https://cdn5.lolalytics.com/item64/3091.webp,智慧末刃,54.97,44.76,0
https://cdn5.lolalytics.com/item64/3085.webp,芮蘭颶風箭,54.84,0.4,0
https://cdn5.lolalytics.com/item64/3084.webp,雄心之鋼,53.65,3.04,0
https://cdn5.lolalytics.com/item64/3143.webp,蘭頓之兆,53.45,4.54,0
https://cdn5.lolalytics.com/item64/3078.webp,三相之力,53.14,10.38,0
https://cdn5.lolalytics.com/item64/6672.webp,海妖殺手,52.94,27.93,0
https://cdn5.lolalytics.com/item64/3508.webp,奪魄之鐮,52.63,0.5,0
https://cdn5.lolalytics.com/item64/3031.webp,無盡之刃,51.3,8.54,0
https://cdn5.lolalytics.com/item64/3032.webp,3032,50.74,3.55,0
https://cdn5.lolalytics.com/item64/6676.webp,蒐集者,48.99,5.19,0
https://cdn5.lolalytics.com/item64/126697.webp,126697,48.15,0.7,0
https://cdn5.lolalytics.com/item64/6699.webp,電流旋風劍,46.56,3.22,0
https://cdn5.lolalytics.com/item64/6695.webp,巨蛇鋒牙,42.42,0.43,0
https://cdn5.lolalytics.com/item64/3094.webp,衝擊火炮,40.31,2.56,0
