source_file,window,source_tag,source_mode,source_tier,source_champion,champion,champion_slug,games,winrate,pickrate,item_id1,item_id2,item_id3,item_id4,item_id5,item_en1,item_en2,item_en3,item_en4,item_en5,item_zh1,item_zh2,item_zh3,item_zh4,item_zh5
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,0.3333,0.0014000000000000002,226655,224645,224646,223089,223135,Luden's Companion,Shadowflame,Stormsurge,Rabadon's Deathcap,Void Staff,盧登之伴,黯影之炎,雷霆風暴,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,0.3333,0.0014000000000000002,226655,224646,224628,223089,224645,Luden's Companion,Stormsurge,Horizon Focus,Rabadon's Deathcap,Shadowflame,盧登之伴,雷霆風暴,視界專注,死亡之帽,黯影之炎
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,0.5556,0.0014000000000000002,223118,224646,223089,223135,224645,Malignance,Stormsurge,Rabadon's Deathcap,Void Staff,Shadowflame,惡意,雷霆風暴,死亡之帽,虛空之杖,黯影之炎
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,0.5556,0.0014000000000000002,223118,224646,224645,223135,223089,Malignance,Stormsurge,Shadowflame,Void Staff,Rabadon's Deathcap,惡意,雷霆風暴,黯影之炎,虛空之杖,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,8,0.875,0.0012,226655,224646,224645,223089,223157,Luden's Companion,Stormsurge,Shadowflame,Rabadon's Deathcap,Zhonya's Hourglass,盧登之伴,雷霆風暴,黯影之炎,死亡之帽,中婭沙漏
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,8,0.75,0.0012,226655,224646,223089,224628,224645,Luden's Companion,Stormsurge,Rabadon's Deathcap,Horizon Focus,Shadowflame,盧登之伴,雷霆風暴,死亡之帽,視界專注,黯影之炎
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,7,0.4286,0.0011,226655,224646,223089,224628,223135,Luden's Companion,Stormsurge,Rabadon's Deathcap,Horizon Focus,Void Staff,盧登之伴,雷霆風暴,死亡之帽,視界專注,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,7,0.7143,0.0011,226655,224646,224645,223089,223118,Luden's Companion,Stormsurge,Shadowflame,Rabadon's Deathcap,Malignance,盧登之伴,雷霆風暴,黯影之炎,死亡之帽,惡意
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,7,0.1429,0.0011,223118,224628,224645,223135,223089,Malignance,Horizon Focus,Shadowflame,Void Staff,Rabadon's Deathcap,惡意,視界專注,黯影之炎,虛空之杖,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,7,0.4286,0.0011,226655,224645,224628,223135,223089,Luden's Companion,Shadowflame,Horizon Focus,Void Staff,Rabadon's Deathcap,盧登之伴,黯影之炎,視界專注,虛空之杖,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,7,0.7143,0.0011,226655,223089,224645,223135,224646,Luden's Companion,Rabadon's Deathcap,Shadowflame,Void Staff,Stormsurge,盧登之伴,死亡之帽,黯影之炎,虛空之杖,雷霆風暴
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.6667000000000001,0.0009,226655,224645,223089,223135,223165,Luden's Companion,Shadowflame,Rabadon's Deathcap,Void Staff,Morellonomicon,盧登之伴,黯影之炎,死亡之帽,虛空之杖,黑魔禁書
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.5,0.0009,223118,226655,224645,224646,223089,Malignance,Luden's Companion,Shadowflame,Stormsurge,Rabadon's Deathcap,惡意,盧登之伴,黯影之炎,雷霆風暴,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.3333,0.0009,226655,224646,224645,224628,223135,Luden's Companion,Stormsurge,Shadowflame,Horizon Focus,Void Staff,盧登之伴,雷霆風暴,黯影之炎,視界專注,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.5,0.0009,226655,224646,224628,224645,223089,Luden's Companion,Stormsurge,Horizon Focus,Shadowflame,Rabadon's Deathcap,盧登之伴,雷霆風暴,視界專注,黯影之炎,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.5,0.0009,226655,224628,223089,224645,223135,Luden's Companion,Horizon Focus,Rabadon's Deathcap,Shadowflame,Void Staff,盧登之伴,視界專注,死亡之帽,黯影之炎,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.8332999999999999,0.0009,226655,224646,223089,223135,223165,Luden's Companion,Stormsurge,Rabadon's Deathcap,Void Staff,Morellonomicon,盧登之伴,雷霆風暴,死亡之帽,虛空之杖,黑魔禁書
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.5,0.0009,223118,224646,224628,223089,224645,Malignance,Stormsurge,Horizon Focus,Rabadon's Deathcap,Shadowflame,惡意,雷霆風暴,視界專注,死亡之帽,黯影之炎
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.6667000000000001,0.0009,223118,224646,223089,224645,224628,Malignance,Stormsurge,Rabadon's Deathcap,Shadowflame,Horizon Focus,惡意,雷霆風暴,死亡之帽,黯影之炎,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.5,0.0009,226655,224645,223089,224646,224628,Luden's Companion,Shadowflame,Rabadon's Deathcap,Stormsurge,Horizon Focus,盧登之伴,黯影之炎,死亡之帽,雷霆風暴,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,6,0.3333,0.0009,223118,224628,223089,223135,224645,Malignance,Horizon Focus,Rabadon's Deathcap,Void Staff,Shadowflame,惡意,視界專注,死亡之帽,虛空之杖,黯影之炎
