source_file,window,source_tag,source_mode,source_tier,source_champion,champion,champion_slug,games,winrate,pickrate,item_id1,item_id2,item_id3,item_id4,item_id5,item_en1,item_en2,item_en3,item_en4,item_en5,item_zh1,item_zh2,item_zh3,item_zh4,item_zh5
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223161,223074,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Ravenous Hydra,三相之力,魔劍正宗,席利妲咒怨,精進之矛,狂怒九頭蛇
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,223033,223153,Trinity Force,Manamune,Spear of Shojin,Mortal Reminder,Blade of The Ruined King,三相之力,魔劍正宗,精進之矛,致死宣告,殞落王者之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226699,223161,226694,Trinity Force,Manamune,Voltaic Cyclosword,Spear of Shojin,Serylda's Grudge,三相之力,魔劍正宗,電流旋風劍,精進之矛,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223072,226694,223161,Trinity Force,Manamune,Bloodthirster,Serylda's Grudge,Spear of Shojin,三相之力,魔劍正宗,嗜血者,席利妲咒怨,精進之矛
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223153,226694,223072,Trinity Force,Manamune,Blade of The Ruined King,Serylda's Grudge,Bloodthirster,三相之力,魔劍正宗,殞落王者之劍,席利妲咒怨,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223161,226609,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Chempunk Chainsword,三相之力,魔劍正宗,席利妲咒怨,精進之矛,生化龐克鏈鋸之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226699,226694,223161,Trinity Force,Manamune,Voltaic Cyclosword,Serylda's Grudge,Spear of Shojin,三相之力,魔劍正宗,電流旋風劍,席利妲咒怨,精進之矛
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223153,223072,Trinity Force,Manamune,Serylda's Grudge,Blade of The Ruined King,Bloodthirster,三相之力,魔劍正宗,席利妲咒怨,殞落王者之劍,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,223157,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Zhonya's Hourglass,三相之力,魔劍正宗,精進之矛,席利妲咒怨,中婭沙漏
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,667666,223153,Trinity Force,Manamune,Spear of Shojin,The Collector,Blade of The Ruined King,三相之力,魔劍正宗,精進之矛,蒐集者,殞落王者之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223156,226694,223161,Trinity Force,Manamune,Maw of Malmortius,Serylda's Grudge,Spear of Shojin,三相之力,魔劍正宗,魔提斯深淵,席利妲咒怨,精進之矛
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223072,226694,223156,Trinity Force,Manamune,Bloodthirster,Serylda's Grudge,Maw of Malmortius,三相之力,魔劍正宗,嗜血者,席利妲咒怨,魔提斯深淵
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226699,226694,223072,Trinity Force,Manamune,Voltaic Cyclosword,Serylda's Grudge,Bloodthirster,三相之力,魔劍正宗,電流旋風劍,席利妲咒怨,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223156,223161,226694,Trinity Force,Manamune,Maw of Malmortius,Spear of Shojin,Serylda's Grudge,三相之力,魔劍正宗,魔提斯深淵,精進之矛,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,223153,223072,Trinity Force,Manamune,Spear of Shojin,Blade of The Ruined King,Bloodthirster,三相之力,魔劍正宗,精進之矛,殞落王者之劍,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223156,223072,Trinity Force,Manamune,Serylda's Grudge,Maw of Malmortius,Bloodthirster,三相之力,魔劍正宗,席利妲咒怨,魔提斯深淵,嗜血者
